neuropil,diameter,mean_shortest_path_length,n_nodes_lcc,n_edges_lcc
AL_L,7,2.19412272751555,2954,137360
AL_R,9,2.395491393049572,3166,137609
AME_L,10,3.447566997725129,269,3031
AME_R,13,3.869139349614732,248,2904
AMMC_L,8,2.9010024057738573,1161,28873
AMMC_R,13,3.114219605875885,1257,28970
AOTU_L,8,2.96282125916889,1406,45277
AOTU_R,9,3.00912038950898,1476,48528
ATL_L,11,3.5297096242129995,1037,13856
ATL_R,10,3.594415526690448,942,11795
AVLP_L,7,2.5406831208855305,4215,365701
AVLP_R,11,2.686849499428714,5310,447775
BU_L,10,3.5704504504504504,75,306
BU_R,9,2.9857723577235773,124,946
CAN_L,10,3.4483041230614044,309,3218
CAN_R,19,4.764891348727487,470,3504
CRE_L,10,3.132961867615333,4950,127255
CRE_R,9,3.134577338527732,4893,127961
EB,10,2.1300110260682006,499,43019
EPA_L,11,3.48114823845228,1322,21224
EPA_R,9,3.5900759181419115,1087,16003
FB,16,3.319421874458224,2791,223184
FLA_L,9,3.321250530147734,1505,30852
FLA_R,9,3.2738941874781777,1650,37444
GA_L,9,3.133031866266162,248,2955
GA_R,9,3.232150142798857,172,1854
GNG,10,3.2032838173720624,9794,530404
GOR_L,9,3.1542373150105707,1376,27708
GOR_R,8,3.1495143047933056,1385,27210
IB_L,10,3.288857979590483,2231,48994
IB_R,10,3.200104761298218,2228,53576
ICL_L,14,3.3116567117727294,3514,114687
ICL_R,13,3.4925821566067534,3792,122497
IPS_L,11,3.17621674718902,3472,117017
IPS_R,9,3.1817606558825413,3331,109119
LAL_L,12,3.0718652524845185,2289,85811
LAL_R,10,2.8516662598493223,1910,80459
LA_L,31,8.09927717670026,4037,23674
LA_R,26,8.020206847517679,7554,53063
LH_L,9,2.9122455670020506,3679,192617
LH_R,9,2.825864968379358,3486,209653
LOP_L,10,2.739844861708242,11786,443175
LOP_R,8,2.6181318099748343,12090,609436
LO_L,9,2.730747349345058,22702,1377846
LO_R,8,2.730008398051874,22315,1372715
MB_CA_L,13,2.5906015192510545,3069,45357
MB_CA_R,10,2.500276443612287,3072,42270
MB_ML_L,9,2.4878551161436744,3657,165021
MB_ML_R,11,2.584668497051047,3576,137480
MB_PED_L,14,3.135401787040981,3481,65107
MB_PED_R,10,3.083113533065303,3517,61707
MB_VL_L,11,3.26855045636466,2436,46056
MB_VL_R,18,3.0407203231123496,2107,52641
ME_L,8,2.9629903863368083,36438,2425046
ME_R,7,2.913917855792779,36396,2597872
NO,12,3.8253170176217406,789,20109
OCG,7,3.220123456790124,325,2575
PB,16,5.510805574185856,568,8449
PLP_L,14,3.505501641899932,7230,240512
PLP_R,14,3.490909959295106,6741,215049
PRW,8,2.682287599998377,1858,81982
PVLP_L,12,2.9339740880189664,4956,265782
PVLP_R,12,3.003445867038661,4326,213888
SAD,11,3.606441411612258,5572,156924
SCL_L,12,3.532613919687082,4453,103165
SCL_R,14,3.688261289975947,4959,114741
SIP_L,10,3.474277722807865,4093,83892
SIP_R,12,3.4701199313198594,3516,84466
SLP_L,10,3.078363829018877,5457,244307
SLP_R,11,2.936807631086575,5406,286970
SMP_L,11,3.0957235976580364,6008,280488
SMP_R,12,3.043169474462667,6026,297187
SPS_L,11,3.1742571581490777,4248,148754
SPS_R,10,3.115310945621252,4860,188283
VES_L,11,3.0186198828720183,1898,61083
VES_R,11,3.0751364289231886,1974,62698
WED_L,11,3.539456254126943,2327,54745
WED_R,10,3.2839876618811097,2485,70867
